Kegg_id,Kegg_name,Wikipathways_id,Wikipathways_name,Reactome_id,Reactome_name,Gene_id_kegg,Gene_id_hgnc,Heatmap
hsa00010,Glycolysis / Gluconeogenesis,,,,,,MUC16,MUC16
hsa00020,Citrate cycle (TCA cycle),,,,,,MUC1,MUC1
hsa00030,Pentose phosphate pathway,,,,,,WFDC2,WFDC2
hsa00230,Purine metabolism,,,,,,GOS2,GOS2
hsa009893,Drug metabolism - other enzymes -,,,,,,,
hsa00240,Pyrimidine metabolism,,,,,,,
hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),,,,,,,
hsa00980,Metabolism of xenobiotics by cytochrome P450,,,,,,,
hsa02010,ABC transporters - Homo sapiens (human),,,,,,,
hsa03030,DNA replication,,,,,,,
hsa04010,MAPK signaling pathway,,,,,,,
hsa04060,Cytokine-cytokine receptor interaction,,,,,,,
hsa04064,NF-kappa B signaling pathway,,,,,,,
hsa04012,ErbB signaling pathway,,,,,,,
hsa04066,HIF-1 signaling pathway,,,,,,,
hsa04110,Cell cycle  ,,,,,,,
hsa04115,p53 signaling pathway,,,,,,,
hsa04140,Regulation of autophagy,,,,,,,
hsa04150,mTOR signaling pathway,,,,,,,
hsa04151,PI3K-Akt signaling pathway,,,,,,,
hsa04152,AMPK signaling pathway,,,,,,,
hsa04210,Apoptosis  ,,,,,,,
hsa04310,Wnt signaling pathway,,,,,,,
hsa04330,Notch signaling pathway,,,,,,,
hsa04668,TNF signaling pathway,,,,,,,
hsa04662,B cell receptor signaling pathway,,,,,,,
hsa04640,Hematopoietic cell lineage,,,,,,,
hsa04630,Jak-STAT signaling pathway,,,,,,,
hsa04550,Signaling pathways regulating pluripotency of stem cells,,,,,,,
hsa04370,VEGF signaling pathway,,,,,,,
hsa04340,Hedgehog signaling pathway,,,,,,,
hsa05230,Central carbon metabolism in cancer,,,,,,,
hsa05221,Acute myeloid leukemia,,,,,,,
hsa05220,Chronic myeloid leukemia,,,,,,,
hsa05202,Transcriptional misregulation in cancer,,,,,,,
hsa05200,Pathways in cancer,,,,,,,
hsa04670,Leukocyte transendothelial migration,,,,,,,
hsa03410 ,Base excision repair (BER),,,,,,,
hsa03430,DNA mismatch repair (MMR),,,,,,,
